title,url,premium,image url,subhed,article__type,article__byline
Israel thwarts Iranian retaliation and continues military offensive,https://www.lemonde.fr/en/international/article/2025/06/14/israel-thwarts-iranian-retaliation-and-continues-military-offensive_6742346_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/israel-thwarts-iranian-retaliation-and-continues-military-offensive_6742346_4.html,,,
The collapse of the 'axis of resistance',https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html,,,
Attack on Iran derails France's plans to recognize a Palestinian state,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html,,,
'Netanyahu called Trump's bluff' by striking Iran,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html,,,
"Criticism is mounting in the Netherlands against Geert Wilders, who brought down the government",https://www.lemonde.fr/en/international/article/2025/06/04/in-the-netherlands-criticism-is-mounting-against-geert-wilders-who-triggered-the-fall-of-the-government_6741987_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/06/04/in-the-netherlands-criticism-is-mounting-against-geert-wilders-who-triggered-the-fall-of-the-government_6741987_4.html,,,
"Five years after Brexit, UK and EU aim for a fresh start",https://www.lemonde.fr/en/international/article/2025/05/19/five-years-after-brexit-uk-and-eu-aim-for-a-fresh-start_6741415_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/05/19/five-years-after-brexit-uk-and-eu-aim-for-a-fresh-start_6741415_4.html,,,
"In Lithuania, the fear of war with Russia lurks just around the corner",https://www.lemonde.fr/en/international/article/2025/05/18/in-lithuania-the-fear-of-war-with-russia-lurks-just-around-the-corner_6741400_4.html, Subscribers only ,https://www.lemonde.fr/en/international/article/2025/05/18/in-lithuania-the-fear-of-war-with-russia-lurks-just-around-the-corner_6741400_4.html,,,
Unveiling Cartier's hidden treasures in Geneva,https://www.lemonde.fr/en/lifestyle/article/2025/05/16/in-geneva-unveiling-cartier-s-hidden-treasures_6741329_37.html, Subscribers only ,https://www.lemonde.fr/en/lifestyle/article/2025/05/16/in-geneva-unveiling-cartier-s-hidden-treasures_6741329_37.html,,,
French court jails two teenagers over 2024 Jewish girl rape,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,,,
Two Jewish sisters' fight to honor the couple who hid them during the Holocaust,https://www.lemonde.fr/en/france/article/2025/06/13/two-jewish-sisters-fight-to-honor-the-couple-who-hid-them-during-the-holocaust_6742300_7.html, Subscribers only ,https://www.lemonde.fr/en/france/article/2025/06/13/two-jewish-sisters-fight-to-honor-the-couple-who-hid-them-during-the-holocaust_6742300_7.html,,,
French-Algerian woman given 48 hours to leave France in incomprehensible deportation order,https://www.lemonde.fr/en/le-monde-africa/article/2025/06/12/french-algerian-woman-given-48-hours-to-leave-france-in-incomprehensible-deportation-order_6742281_124.html, Subscribers only ,https://www.lemonde.fr/en/le-monde-africa/article/2025/06/12/french-algerian-woman-given-48-hours-to-leave-france-in-incomprehensible-deportation-order_6742281_124.html,,,
No miracle solution to UK's alarming number of knife attacks,https://www.lemonde.fr/en/france/article/2025/06/12/knife-crimes-no-miracle-solution-in-the-united-kingdom_6742265_7.html, Subscribers only ,https://www.lemonde.fr/en/france/article/2025/06/12/knife-crimes-no-miracle-solution-in-the-united-kingdom_6742265_7.html,,,
What is France's 'Black code' and why hasn't it been repealed?,https://www.lemonde.fr/en/videos/video/2025/05/31/what-is-france-s-black-code-and-why-hasn-t-it-been-repealed_6741860_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/31/what-is-france-s-black-code-and-why-hasn-t-it-been-repealed_6741860_108.html,,,
How was the European Union created?,https://www.lemonde.fr/en/videos/video/2025/05/29/how-was-the-european-union-created_6741795_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/29/how-was-the-european-union-created_6741795_108.html,,,
Glide bombs: Russia's secret to making cheap weapons,https://www.lemonde.fr/en/videos/video/2025/05/25/glide-bombs-russia-s-secret-to-making-cheap-weapons_6741646_108.html, Subscribers only ,https://www.lemonde.fr/en/videos/video/2025/05/25/glide-bombs-russia-s-secret-to-making-cheap-weapons_6741646_108.html,,,
How does the conclave pick the new pope?,https://www.lemonde.fr/en/videos/video/2025/05/07/how-does-the-conclave-pick-the-new-pope_6741005_108.html,,https://www.lemonde.fr/en/videos/video/2025/05/07/how-does-the-conclave-pick-the-new-pope_6741005_108.html,,,
'There is a world of difference between how the media portrays JK Rowling and her image among the public',https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html, Subscribers only ,https://www.lemonde.fr/en/opinion/article/2025/06/13/there-is-a-world-of-difference-between-how-the-media-portrays-jk-rowling-and-her-image-among-the-public_6742323_23.html,,,
Israel's war in Iran: The choice of war and its risks,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,,https://www.lemonde.fr/en/opinion/article/2025/06/14/israel-s-war-in-iran-the-choice-of-war-and-its-risks_6742338_23.html,,,
Thomas Piketty: 'Opponents of the tax on the ultra-wealthy lack historical perspective',https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html, Subscribers only ,https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html,,,
Tax equity means taxing the ultra-wealthy,https://www.lemonde.fr/en/opinion/article/2025/06/13/tax-equity-means-taxing-the-ultra-wealthy_6742311_23.html,,https://www.lemonde.fr/en/opinion/article/2025/06/13/tax-equity-means-taxing-the-ultra-wealthy_6742311_23.html,,,
"In Rome, Maria Grazia Chiuri's final bow",https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html,,,
"The life and death of Julie, 21, swept up in the spiral of social media",https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/11/the-life-and-death-of-julie-21-swept-up-in-the-spiral-of-social-media_6742255_117.html,,,
"In Alsace, Turks reconnect with their heritage: 'It's hard to part with these objects, but I'm glad they'll be in a museum'",https://www.lemonde.fr/en/m-le-mag/article/2025/06/10/in-alsace-turks-reconnect-with-their-heritage-it-s-hard-to-part-with-these-objects-but-i-m-glad-they-ll-be-in-a-museum_6742184_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/10/in-alsace-turks-reconnect-with-their-heritage-it-s-hard-to-part-with-these-objects-but-i-m-glad-they-ll-be-in-a-museum_6742184_117.html,,,
The Russian family of dissidents that spans generations,https://www.lemonde.fr/en/m-le-mag/article/2025/06/09/the-russian-family-of-dissidents-that-spans-generations_6742142_117.html, Subscribers only ,https://www.lemonde.fr/en/m-le-mag/article/2025/06/09/the-russian-family-of-dissidents-that-spans-generations_6742142_117.html,,,
Paris exhibition tries to answer the mystery of Cleopatra,https://www.lemonde.fr/en/culture/article/2025/06/12/paris-exhibition-tries-to-answer-the-mystery-of-cleopatra_6742287_30.html, Subscribers only ,https://www.lemonde.fr/en/culture/article/2025/06/12/paris-exhibition-tries-to-answer-the-mystery-of-cleopatra_6742287_30.html,,,
"Forget the jambon-beurre, try these five delicious banh mi sandwiches in Paris",https://www.lemonde.fr/en/lifestyle/article/2025/06/06/forget-the-jambon-beurre-try-these-five-delicious-banh-mi-sandwiches-in-paris_6742068_37.html, Subscribers only ,https://www.lemonde.fr/en/lifestyle/article/2025/06/06/forget-the-jambon-beurre-try-these-five-delicious-banh-mi-sandwiches-in-paris_6742068_37.html,,,
"Gabriele Münter, a framing prodigy, emerges from the shadows in new Paris show",https://www.lemonde.fr/en/culture/article/2025/06/04/at-the-musee-d-art-moderne-de-paris-gabriele-munter-a-framing-prodigy-has-emerged-from-the-shadows_6741982_30.html, Subscribers only ,https://www.lemonde.fr/en/culture/article/2025/06/04/at-the-musee-d-art-moderne-de-paris-gabriele-munter-a-framing-prodigy-has-emerged-from-the-shadows_6741982_30.html,,,
How artists dress: A work of art in itself,https://www.lemonde.fr/en/culture/article/2025/05/30/how-artists-dress-a-work-of-art-in-itself_6741825_30.html, Subscribers only ,https://www.lemonde.fr/en/culture/article/2025/05/30/how-artists-dress-a-work-of-art-in-itself_6741825_30.html,,,
 The collapse of the 'axis of resistance'  ,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/israel-s-attack-on-iran-the-collapse-of-the-pro-tehran-axis-of-resistance_6742345_4.html,"Faced with Israel, the Islamic Republic of Iran can no longer count on its allies in Lebanon, Iraq and Yemen, which have been weakened since Hamas's attack on Israel, on October 7, 2023.",,
Trump's long-standing obsession with military parades,,,https://www.lemonde.fr/en/international/article/2025/06/14/donald-trump-s-long-standing-obsession-with-military-parades_6742335_4.html,,,
"Two Democratic lawmakers shot in their Minnesota homes, one died",,,https://www.lemonde.fr/en/international/article/2025/06/14/two-democratic-lawmakers-shot-in-their-minnesota-homes_6742342_5.html,,,
Europe's paradoxical support for Israel's attack against Iran,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/europe-s-paradoxical-support-for-israel-s-attack-against-iran_6742340_4.html,"France, the United Kingdom and Germany expressed their support on Friday for Israel's 'right to defend itself' against the nuclear threat posed by the Islamic Republic of Iran, despite deteriorating relations with Benjamin Netanyahu because of his war in Gaza and their stated preference for a diplomatic approach.",,
Thomas Piketty: 'Opponents of the tax on the ultra-wealthy lack historical perspective',,Subscribers only,https://www.lemonde.fr/en/opinion/article/2025/06/14/thomas-piketty-opponents-of-the-tax-on-the-ultra-wealthy-lack-historical-perspective_6742333_23.html,"After France's Sénat voted against a 2% wealth tax for people whose worth exceeds €100 million, the economist argues that the scale of France's debt and funding needs for social and climate challenges will soon require even more radical redistributive measures.",,
French actress Anouk Grinberg: 'My soul was born with my son',,Subscribers only,https://www.lemonde.fr/en/culture/article/2025/06/14/french-actress-anouk-grinberg-my-soul-was-born-with-my-son_6742344_30.html,"The French actress, who became an advocate for women who have filed complaints against actor Gérard Depardieu, discusses her suicidal mother and how she found emancipation when she became a mother herself.",,
Artificial intelligence consumes massive amounts of energy. Here's why,,Subscribers only,,"From developing models to their everyday use, generative AI has proven to be extremely energy-hungry. Le Monde breaks down the reasons behind this voracious demand, as their user base continues to expand.",Long Read,Long Read
'Netanyahu called Trump's bluff' by striking Iran,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/philip-gordon-former-kamala-harris-adviser-netanyahu-called-trump-s-bluff-by-striking-iran_6742341_4.html,,,
Attack on Iran derails France's plans to recognize a Palestinian state,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/attack-on-iran-derails-france-s-plans-to-recognize-a-palestinian-state_6742343_4.html,,,
How Donald Trump is using the military for political gain in Los Angeles,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/how-donald-trump-is-using-the-military-in-los-angeles-for-political-gain_6742334_4.html,,,
"In Ukraine, the Dnipropetrovsk region faces threats of a Russian breakthrough toward Pokrovsk",,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/13/in-ukraine-the-dnipropetrovsk-region-faces-threats-of-a-russian-breakthrough-toward-pokrovsk_6742325_4.html,,,
Brazil's evangelical wave is losing momentum,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/in-brazil-the-evangelical-wave-is-losing-momentum_6742331_4.html,,,
Paris exhibition tries to answer the mystery of Cleopatra,,Subscribers only,https://www.lemonde.fr/en/culture/article/2025/06/12/paris-exhibition-tries-to-answer-the-mystery-of-cleopatra_6742287_30.html,,,
'Can robots beat the wolves of Wall Street?',,Subscribers only,https://www.lemonde.fr/en/economy/article/2025/06/14/can-robots-beat-the-wolves-of-wall-street_6742328_19.html,,,
French court jails two teenagers over 2024 Jewish girl rape,,,https://www.lemonde.fr/en/france/article/2025/06/14/french-court-jails-two-teenagers-over-2024-jewish-girl-rape_6742336_7.html,,,
"On China, Leo XIV follows in the footsteps of Pope Francis",,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/facing-china-leo-xiv-follows-in-the-footsteps-of-pope-francis-by-appointing-a-bishop-in-fuzhou_6742327_4.html,,,
"In Rome, Maria Grazia Chiuri's final bow",,Subscribers only,https://www.lemonde.fr/en/m-le-mag/article/2025/06/13/in-rome-maria-grazia-chiuri-s-final-bow_6742321_117.html,,,
Trump torn between support to Israel and opposition to military intervention abroad,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/trump-torn-between-support-to-israel-and-opposition-to-military-intervention-abroad_6742337_4.html,,,
Iranian regime shaken by violence of Israeli attack,,Subscribers only,https://www.lemonde.fr/en/international/article/2025/06/14/iranian-regime-shaken-by-violence-of-israeli-attack_6742339_4.html,,,
"The Islamic Republic of Iran, Netanyahu's favorite enemy for 30 years",,Subscribers only,,"Since his rise to prominence on the Israeli political stage in the early 1990s, Israeli Prime Minister Benjamin Netanyahu has repeatedly insisted that the regime in Tehran poses an 'existential threat' to Israel.",In Depth,In Depth
Two Jewish sisters' fight to honor the couple who hid them during the Holocaust,,Subscribers only,,"Arlette and Madeleine Testyler campaigned so that Jeanne and Jean Philippeau, who sheltered them during World War II, be recognized as Righteous Among the Nations. After some hesitation from the mayor, the town of Vendôme is organizing a ceremony on June 16 in which they will be honored by the Yad Vashem Institute.",Long Read,Long Read
French-Algerian woman given 48 hours to leave France in incomprehensible deportation order,,Subscribers only,,"A 58-year-old mother, who has been living in France since 1993 and holds dual nationality, was detained for an entire afternoon by border police at a Paris airport. She is contesting the order to leave French territory that was served to her.",News,News
Israel's war in Iran: The choice of war and its risks,,,,,Editorial,Editorial
'There is a world of difference between how the media portrays JK Rowling and her image among the public',,Subscribe,,,Column,Column
The murder in France of a teaching assistant is a tragedy that defies stereotypes,,,,,Editorial,Editorial
